RegionName,State,Metro,homeindex
Callahan,TX,Abilene,121000
Lenawee,MI,Adrian,130000
Portage,OH,Akron,149100
Summit,OH,Akron,124600
Albany,NY,Albany,212600
Dougherty,GA,Albany,78500
Lee,GA,Albany,140600
Linn,OR,Albany,196700
Rensselaer,NY,Albany,170300
Saratoga,NY,Albany,252300
Stanly,NC,Albemarle,127600
Bernalillo,NM,Albuquerque,186100
Sandoval,NM,Albuquerque,170100
Valencia,NM,Albuquerque,121400
Rapides,LA,Alexandria,145400
Jim Wells,TX,Alice,86700
Carbon,PA,Allentown,135500
Lehigh,PA,Allentown,183000
Northampton,PA,Allentown,185800
Warren,NJ,Allentown,215600
Blair,PA,Altoona,111700
Schley,GA,Americus,132800
Montgomery,NY,Amsterdam,96100
Anchorage,AK,Anchorage,292100
Steuben,IN,Angola,150800
Washtenaw,MI,Ann Arbor,246200
Calumet,WI,Appleton,144800
Outagamie,WI,Appleton,158100
De Soto,FL,Arcadia,115000
Carter,OK,Ardmore,93700
Buncombe,NC,Asheville,244000
Haywood,NC,Asheville,148300
Henderson,NC,Asheville,219700
Ashtabula,OH,Ashtabula,85000
Clarke,GA,Athens,140400
Henderson,TX,Athens,148000
McMinn,TN,Athens,131200
Oglethorpe,GA,Athens,133100
Barrow,GA,Atlanta,145800
Bartow,GA,Atlanta,133000
Butts,GA,Atlanta,89600
Carroll,GA,Atlanta,121300
Cherokee,GA,Atlanta,214100
Cobb,GA,Atlanta,224100
Coweta,GA,Atlanta,176400
Dekalb,GA,Atlanta,162500
Douglas,GA,Atlanta,134700
Fayette,GA,Atlanta,253900
Forsyth,GA,Atlanta,289800
Fulton,GA,Atlanta,232500
Gwinnett,GA,Atlanta,195000
Haralson,GA,Atlanta,97500
Henry,GA,Atlanta,153500
Jasper,GA,Atlanta,99200
Meriwether,GA,Atlanta,68200
Morgan,GA,Atlanta,213900
Newton,GA,Atlanta,126700
Paulding,GA,Atlanta,153000
Pickens,GA,Atlanta,158100
Pike,GA,Atlanta,135300
Rockdale,GA,Atlanta,134400
Spalding,GA,Atlanta,88200
Walton,GA,Atlanta,157200
De Kalb,IN,Auburn,121300
Columbia,GA,Augusta,170500
Edgefield,SC,Augusta,113500
McDuffie,GA,Augusta,71000
Richmond,GA,Augusta,81100
Hays,TX,Austin,216700
Mower,MN,Austin,94200
Travis,TX,Austin,301000
Williamson,TX,Austin,236500
Decatur,GA,Bainbridge,93700
Kern,CA,Bakersfield,189000
Anne Arundel,MD,Baltimore,338300
Baltimore,MD,Baltimore,232300
Baltimore City,MD,Baltimore,119300
Carroll,MD,Baltimore,304300
Harford,MD,Baltimore,260500
Howard,MD,Baltimore,429800
Queen Annes,MD,Baltimore,309600
Sauk,WI,Baraboo,175900
Washington,VT,Barre,210200
Washington,OK,Bartlesville,101600
Genesee,NY,Batavia,111600
Independence,AR,Batesville,99900
Ascension,LA,Baton Rouge,205300
East Baton Rouge,LA,Baton Rouge,157200
East Feliciana,LA,Baton Rouge,140200
Iberville,LA,Baton Rouge,116000
Livingston,LA,Baton Rouge,170200
Saint Helena,LA,Baton Rouge,131300
West Baton Rouge,LA,Baton Rouge,187100
West Feliciana,LA,Baton Rouge,232000
Calhoun,MI,Battle Creek,98000
Bay,MI,Bay City,87800
Matagorda,TX,Bay City,136800
Lawrence,IN,Bedford,84100
Bee,TX,Beeville,98000
Whatcom,WA,Bellingham,325000
Deschutes,OR,Bend,342400
Bennington,VT,Bennington,182800
Coos,NH,Berlin,116500
Mecosta,MI,Big Rapids,101900
Howard,TX,Big Spring,94000
Yellowstone,MT,Billings,203900
Broome,NY,Binghamton,99900
Tioga,NY,Binghamton,108900
Jefferson,AL,Birmingham,111300
Saint Clair,AL,Birmingham,158800
Shelby,AL,Birmingham,190300
Walker,AL,Birmingham,85300
Burleigh,ND,Bismarck,261600
Morton,ND,Bismarck,203600
Dewitt,IL,Bloomington,79900
Monroe,IN,Bloomington,158800
Owen,IN,Bloomington,92300
Washington,LA,Bogalusa,112800
Ada,ID,Boise City,212700
Boise,ID,Boise City,148500
Canyon,ID,Boise City,148600
Gem,ID,Boise City,171700
Hutchinson,TX,Borger,71900
Essex,MA,Boston,391100
Middlesex,MA,Boston,479700
Norfolk,MA,Boston,447800
Plymouth,MA,Boston,348600
Rockingham,NH,Boston,299400
Strafford,NH,Boston,217800
Suffolk,MA,Boston,493500
Boulder,CO,Boulder,482800
Warren,KY,Bowling Green,160700
McKean,PA,Bradford,73700
Washington,TX,Brenham,158700
Lincoln,MS,Brookhaven,109900
Cameron,TX,Brownsville,78300
Brown,TX,Brownwood,84700
Glynn,GA,Brunswick,181200
Niagara,NY,Buffalo,125100
Alamance,NC,Burlington,133200
Chittenden,VT,Burlington,278800
Franklin,VT,Burlington,211600
Gordon,GA,Calhoun,119600
Saint Marys,MD,California-Lexington Park,262400
Dorchester,MD,Cambridge,133100
Stark,OH,Canton,118400
Barnstable,MA,Cape Cod,377000
Cape Girardeau,MO,Cape Girardeau,147300
Carson City,NV,Carson City,258000
Natrona,WY,Casper,184700
Linn,IA,Cedar Rapids,132400
Polk,GA,Cedartown,84200
Lewis,WA,Centralia,179800
Franklin,PA,Chambersburg,166700
Champaign,IL,Champaign-Urbana,134500
Berkeley,SC,Charleston,173200
Coles,IL,Charleston,83900
Dorchester,SC,Charleston,181700
Kanawha,WV,Charleston,92100
Cabarrus,NC,Charlotte,167800
Gaston,NC,Charlotte,121900
Iredell,NC,Charlotte,155300
Lancaster,SC,Charlotte,145200
Lincoln,NC,Charlotte,135600
Mecklenburg,NC,Charlotte,195100
Rowan,NC,Charlotte,137500
Union,NC,Charlotte,208900
York,SC,Charlotte,170900
Albemarle,VA,Charlottesville,307000
Fluvanna,VA,Charlottesville,202800
Catoosa,GA,Chattanooga,126900
Hamilton,TN,Chattanooga,153500
Marion,TN,Chattanooga,114200
Walker,GA,Chattanooga,96800
Laramie,WY,Cheyenne,199900
Cook,IL,Chicago,208900
DeKalb,IL,Chicago,155400
Du Page,IL,Chicago,276600
Grundy,IL,Chicago,176900
Jasper,IN,Chicago,144900
Kane,IL,Chicago,212600
Kendall,IL,Chicago,220200
Kenosha,WI,Chicago,158400
Lake,IL,Chicago,232800
Lake,IN,Chicago,127200
McHenry,IL,Chicago,199600
Newton,IN,Chicago,113100
Porter,IN,Chicago,167900
Will,IL,Chicago,201200
Butte,CA,Chico,260100
Boone,KY,Cincinnati,177600
Brown,OH,Cincinnati,115000
Butler,OH,Cincinnati,155500
Campbell,KY,Cincinnati,143600
Dearborn,IN,Cincinnati,153300
Hamilton,OH,Cincinnati,131400
Kenton,KY,Cincinnati,140500
Union,IN,Cincinnati,88100
Warren,OH,Cincinnati,197900
Grafton,NH,Claremont,184500
Orange,VT,Claremont,180800
Sullivan,NH,Claremont,165700
Windsor,VT,Claremont,187900
Coahoma,MS,Clarksdale,71200
Montgomery,TN,Clarksville,143300
Bolivar,MS,Cleveland,120500
Bradley,TN,Cleveland,127800
Cuyahoga,OH,Cleveland,114800
Lake,OH,Cleveland,138700
Lorain,OH,Cleveland,129300
Medina,OH,Cleveland,179500
Hendry,FL,Clewiston,113200
Branch,MI,Coldwater,113200
Brazos,TX,College Station,184500
Robertson,TX,College Station,73200
El Paso,CO,Colorado Springs,246800
Teller,CO,Colorado Springs,245600
Boone,MO,Columbia,152800
Lexington,SC,Columbia,135800
Richland,SC,Columbia,130000
Bartholomew,IN,Columbus,135900
Fairfield,OH,Columbus,165900
Franklin,OH,Columbus,148500
Hocking,OH,Columbus,124100
Lowndes,MS,Columbus,118400
Madison,OH,Columbus,146500
Muscogee,GA,Columbus,91200
Perry,OH,Columbus,92700
Pickaway,OH,Columbus,157600
Merrimack,NH,Concord,221100
Fayette,IN,Connersville,62100
Putnam,TN,Cookeville,138800
Coos,OR,Coos Bay,179200
Alcorn,MS,Corinth,101400
Habersham,GA,Cornelia,131600
Steuben,NY,Corning,87300
Aransas,TX,Corpus Christi,195500
Cortland,NY,Cortland,103900
Benton,OR,Corvallis,313600
Coshocton,OH,Coshocton,93100
Moffat,CO,Craig,160200
Montgomery,IN,Crawfordsville,105500
Okaloosa,FL,Crestview-Fort Walton Beach-Destin,201500
Walton,FL,Crestview-Fort Walton Beach-Destin,316800
Cumberland,TN,Crossville,91100
Allegany,MD,Cumberland,76200
Collin,TX,Dallas-Fort Worth,305000
Dallas,TX,Dallas-Fort Worth,171100
Denton,TX,Dallas-Fort Worth,258600
Ellis,TX,Dallas-Fort Worth,177500
Hood,TX,Dallas-Fort Worth,193000
Hunt,TX,Dallas-Fort Worth,90100
Johnson,TX,Dallas-Fort Worth,163500
Kaufman,TX,Dallas-Fort Worth,177400
Parker,TX,Dallas-Fort Worth,215000
Rockwall,TX,Dallas-Fort Worth,253100
Tarrant,TX,Dallas-Fort Worth,177800
Whitfield,GA,Dalton,116700
Pittsylvania,VA,Danville,124000
Baldwin,AL,Daphne,201000
Henry,IL,Davenport,107500
Rock Island,IL,Davenport,102400
Greene,OH,Dayton,152800
Rhea,TN,Dayton,121800
Flagler,FL,Daytona Beach,196400
Volusia,FL,Daytona Beach,167400
Beauregard,LA,De Ridder,135100
Adams,IN,Decatur,101300
Morgan,AL,Decatur,112800
Defiance,OH,Defiance,105400
Adams,CO,Denver,284000
Arapahoe,CO,Denver,330600
Broomfield,CO,Denver,387800
Clear Creek,CO,Denver,285500
Denver,CO,Denver,369800
Douglas,CO,Denver,440700
Elbert,CO,Denver,440900
Jefferson,CO,Denver,376400
Park,CO,Denver,253100
Dallas,IA,Des Moines,206500
Livingston,MI,Detroit,239400
Macomb,MI,Detroit,152900
Oakland,MI,Detroit,217000
Saint Clair,MI,Detroit,141900
Wayne,MI,Detroit,69200
Stark,ND,Dickinson,199600
Coffee,GA,Douglas,90700
Kent,DE,Dover,175500
Laurens,GA,Dublin,92300
Saint Louis,MN,Duluth,131400
Harnett,NC,Dunn,157900
La Plata,CO,Durango,338800
Bryan,OK,Durant,109900
Chatham,NC,Durham,255800
Durham,NC,Durham,186200
Orange,NC,Durham,268400
Dyer,TN,Dyersburg,79000
Maverick,TX,Eagle Pass,111800
Talbot,MD,Easton,277400
Eau Claire,WI,Eau Claire,157700
Eagle,CO,Edwards,643400
Effingham,IL,Effingham,126900
Wharton,TX,El Campo,122100
Imperial,CA,El Centro,188400
El Paso,TX,El Paso,112200
Hardin,KY,Elizabethtown,134400
Meade,KY,Elizabethtown,117800
Elkhart,IN,Elkhart,129500
Elko,NV,Elko,224400
Chemung,NY,Elmira,87800
Garfield,OK,Enid,119800
Erie,PA,Erie,120000
Lane,OR,Eugene,244100
Humboldt,CA,Eureka,283200
Henderson,KY,Evansville,126000
Posey,IN,Evansville,118500
Vanderburgh,IN,Evansville,105200
Warrick,IN,Evansville,147800
Fairbanks North Star,AK,Fairbanks,215500
Cass,ND,Fargo,224300
Clay,MN,Fargo,179400
Rice,MN,Faribault,202400
Cumberland,NC,Fayetteville,114600
Hoke,NC,Fayetteville,146300
Washington,AR,Fayetteville,160200
Lyon,NV,Fernley,202000
Hancock,OH,Findlay,132300
Coconino,AZ,Flagstaff,320800
Genesee,MI,Flint,91800
Colbert,AL,Florence,104000
Florence,SC,Florence,118800
Fond du Lac,WI,Fond du Lac,133200
Larimer,CO,Fort Collins,335300
Pulaski,MO,Fort Leonard Wood,136700
Lee,FL,Fort Myers,224400
Vernon,LA,Fort Polk South,142700
Crawford,AR,Fort Smith,109700
LeFlore,OK,Fort Smith,81700
Allen,IN,Fort Wayne,110100
Wells,IN,Fort Wayne,114000
Whitley,IN,Fort Wayne,127700
Clinton,IN,Frankfort,92900
Fresno,CA,Fresno,217400
Etowah,AL,Gadsden,100200
Alachua,FL,Gainesville,161000
Hall,GA,Gainesville,163600
Knox,IL,Galesburg,71900
McKinley,NM,Gallup,125400
Finney,KS,Garden City,136900
Douglas,NV,Gardnerville Ranchos,362300
Georgetown,SC,Georgetown,214100
Metcalfe,KY,Glasgow,91600
Warren,NY,Glens Falls,197300
Washington,NY,Glens Falls,129700
Garfield,CO,Glenwood Springs,352900
Fulton,NY,Gloversville,116900
Mesa,CO,Grand Junction,199200
Barry,MI,Grand Rapids,148000
Kent,MI,Grand Rapids,164100
Montcalm,MI,Grand Rapids,96700
Ottawa,MI,Grand Rapids,184300
Josephine,OR,Grants Pass,233700
Cascade,MT,Great Falls,157800
Weld,CO,Greeley,268700
Brown,WI,Green Bay,158200
Greene,TN,Greeneville,87400
Franklin,MA,Greenfield Town,201800
Randolph,NC,Greensboro,123400
Decatur,IN,Greensburg,109600
Anderson,SC,Greenville,119800
Greenville,SC,Greenville,166600
Laurens,SC,Greenville,116300
Grenada,MS,Grenada,99500
Hancock,MS,Gulfport,126600
Harrison,MS,Gulfport,103800
Jackson,MS,Gulfport,109600
Washington,MD,Hagerstown,172100
Tangipahoa,LA,Hammond,147700
Kings,CA,Hanford,178500
Cumberland,PA,Harrisburg,183400
Dauphin,PA,Harrisburg,157000
Boone,AR,Harrison,114600
Harrisonburg City,VA,Harrisonburg,174000
Hartford,CT,Hartford,213600
Middlesex,CT,Hartford,254200
Tolland,CT,Hartford,216200
Forrest,MS,Hattiesburg,108700
Lamar,MS,Hattiesburg,149200
Perry,MS,Hattiesburg,108200
Vance,NC,Henderson,92500
Umatilla,OR,Hermiston-Pendleton,157800
Alexander,NC,Hickory,131100
Burke,NC,Hickory,109500
Catawba,NC,Hickory,111000
Hillsdale,MI,Hillsdale,119900
Hawaii,HI,Hilo,339800
Beaufort,SC,Hilton Head Island,287300
Allegan,MI,Holland,156900
Citrus,FL,Homosassa Springs,138200
Hood River,OR,Hood River,391500
Garland,AR,Hot Springs,134100
Lafourche,LA,Houma,135600
Terrebonne,LA,Houma,143500
Austin,TX,Houston,170800
Waller,TX,Houston,193600
Huntingdon,PA,Huntingdon,119500
Boyd,KY,Huntington,100400
Huntington,IN,Huntington,88700
Madison,AL,Huntsville,152700
Bonneville,ID,Idaho Falls,142700
Indiana,PA,Indiana,115600
Boone,IN,Indianapolis,193100
Brown,IN,Indianapolis,175700
Hamilton,IN,Indianapolis,225200
Hancock,IN,Indianapolis,148100
Hendricks,IN,Indianapolis,170300
Johnson,IN,Indianapolis,143500
Madison,IN,Indianapolis,74500
Marion,IN,Indianapolis,111600
Morgan,IN,Indianapolis,136400
Putnam,IN,Indianapolis,117100
Shelby,IN,Indianapolis,109900
Tompkins,NY,Ithaca,204800
Chester,TN,Jackson,105000
Copiah,MS,Jackson,84200
Hinds,MS,Jackson,79200
Jackson,MI,Jackson,118900
Jackson,OH,Jackson,85300
Madison,TN,Jackson,92200
Madison,MS,Jackson,187300
Teton,ID,Jackson,353600
Yazoo,MS,Jackson,84600
Clay,FL,Jacksonville,172200
Duval,FL,Jacksonville,151500
Morgan,IL,Jacksonville,86800
Nassau,FL,Jacksonville,234800
Saint Johns,FL,Jacksonville,282600
Stutsman,ND,Jamestown,161100
Rock,WI,Janesville,135200
Dubois,IN,Jasper,139200
Pike,IN,Jasper,68000
Jackson,GA,Jefferson,176200
Cole,MO,Jefferson City,127300
Wayne,GA,Jesup,106000
Carter,TN,Johnson City,111300
Washington,TN,Johnson City,130600
Craighead,AR,Jonesboro,120700
Jasper,MO,Joplin,82500
Juneau,AK,Juneau,319300
Maui,HI,Kahului,599200
Kalamazoo,MI,Kalamazoo,142800
Van Buren,MI,Kalamazoo,128500
Kankakee,IL,Kankakee,122500
Cass,MO,Kansas City,159800
Clay,MO,Kansas City,148700
Jackson,MO,Kansas City,116000
Johnson,KS,Kansas City,235100
Miami,KS,Kansas City,179000
Wyandotte,KS,Kansas City,79900
Kauai,HI,Kapaa,534100
Cheshire,NH,Keene,177500
Noble,IN,Kendallville,111900
Benton,WA,Kennewick,259300
Franklin,WA,Kennewick,183800
Ketchikan Gateway,AK,Ketchikan,232500
Monroe,FL,Key West,558300
Bell,TX,Killeen,119300
Coryell,TX,Killeen,90100
Lampasas,TX,Killeen,151200
Bristol City,VA,Kingsport,99600
Hawkins,TN,Kingsport,117100
Sullivan,TN,Kingsport,120600
Ulster,NY,Kingston,192300
Klamath,OR,Klamath Falls,151900
Blount,TN,Knoxville,146200
Campbell,TN,Knoxville,105600
Knox,TN,Knoxville,158000
Loudon,TN,Knoxville,153400
Roane,TN,Knoxville,130700
Union,TN,Knoxville,113600
Howard,IN,Kokomo,85200
La Crosse,WI,La Crosse,152300
Union,OR,La Grande,170600
Belknap,NH,Laconia,207000
Iberia,LA,Lafayette,93900
Benton,IN,Lafayette-West Lafayette,73400
Carroll,IN,Lafayette-West Lafayette,108500
Tippecanoe,IN,Lafayette-West Lafayette,130600
Calcasieu,LA,Lake Charles,162000
Columbia,FL,Lake City,120200
Mohave,AZ,Lake Havasu City,179600
Polk,FL,Lakeland,153800
Lancaster,PA,Lancaster,189800
Clinton,MI,Lansing,167700
Eaton,MI,Lansing,137500
Ingham,MI,Lansing,124200
Webb,TX,Laredo,118600
Dona Ana,NM,Las Cruces,136900
Clark,NV,Las Vegas,216400
Jasper,MS,Laurel,97200
Jones,MS,Laurel,104500
Douglas,KS,Lawrence,170500
Lawrence,TN,Lawrenceburg,95400
Laclede,MO,Lebanon,111500
Marshall,TN,Lewisburg,112600
Nez Perce,ID,Lewiston,179900
Fayette,KY,Lexington,160500
Jessamine,KY,Lexington,135000
Scott,KY,Lexington,178400
Allen,OH,Lima,92300
Lancaster,NE,Lincoln,156000
Faulkner,AR,Little Rock,136400
Pulaski,AR,Little Rock,121400
Saline,AR,Little Rock,142200
Clinton,PA,Lock Haven,139800
Cass,IN,Logansport,71900
Cowlitz,WA,Longview,162600
Gregg,TX,Longview,128100
Rusk,TX,Longview,114000
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,552600
Orange,CA,Los Angeles-Long Beach-Anaheim,673800
Clark,IN,Louisville/Jefferson County,116500
Floyd,IN,Louisville/Jefferson County,154800
Harrison,IN,Louisville/Jefferson County,125100
Henry,KY,Louisville/Jefferson County,147300
Oldham,KY,Louisville/Jefferson County,269900
Scott,IN,Louisville/Jefferson County,87700
Shelby,KY,Louisville/Jefferson County,179100
Washington,IN,Louisville/Jefferson County,89800
Mason,MI,Ludington,120100
Amherst,VA,Lynchburg,146200
Bedford,VA,Lynchburg,173700
Campbell,VA,Lynchburg,148600
Lynchburg City,VA,Lynchburg,125700
McDonough,IL,Macomb,76200
Jones,GA,Macon,114500
Madera,CA,Madera,217500
Columbia,WI,Madison,173400
Dane,WI,Madison,242600
Jefferson,IN,Madison,109400
Hopkins,KY,Madisonville,98600
Franklin,NY,Malone,81300
Hillsborough,NH,Manchester,248900
Blue Earth,MN,Mankato,178900
Marinette,WI,Marinette,105700
Grant,IN,Marion,67200
Weakley,TN,Martin,76600
Henry,VA,Martinsville,80200
Pittsburg,OK,McAlester,90300
Warren,TN,McMinnville,81000
Jackson,OR,Medford,252600
Brevard,FL,Melbourne,179600
Benton,MS,Memphis,76500
DeSoto,MS,Memphis,136800
Fayette,TN,Memphis,168100
Marshall,MS,Memphis,75400
Shelby,TN,Memphis,109800
Tate,MS,Memphis,114500
Tipton,TN,Memphis,129000
Merced,CA,Merced,222000
Clarke,MS,Meridian,80400
Audrain,MO,Mexico,96600
Broward,FL,Miami-Fort Lauderdale,223600
Miami-Dade,FL,Miami-Fort Lauderdale,267600
Palm Beach,FL,Miami-Fort Lauderdale,250500
Bell,KY,Middlesborough,78300
Midland,TX,Midland,190200
Midland,MI,Midland,124900
