RegionName,State,Metro,homeindex
Milwaukee,WI,Milwaukee,110900
Ozaukee,WI,Milwaukee,263700
Washington,WI,Milwaukee,226300
Waukesha,WI,Milwaukee,262200
Carver,MN,Minneapolis-St Paul,295600
Dakota,MN,Minneapolis-St Paul,254900
Hennepin,MN,Minneapolis-St Paul,249800
Ramsey,MN,Minneapolis-St Paul,223400
Scott,MN,Minneapolis-St Paul,283600
Washington,MN,Minneapolis-St Paul,265500
McHenry,ND,Minot,99600
Ward,ND,Minot,207400
Missoula,MT,Missoula,242400
Randolph,MO,Moberly,84200
Mobile,AL,Mobile,109900
Stanislaus,CA,Modesto,263000
Monroe,MI,Monroe,150100
Union,LA,Monroe,129600
Autauga,AL,Montgomery,129200
Montrose,CO,Montrose,205600
Carteret,NC,Morehead City,244000
Hamblen,TN,Morristown,110900
Jefferson,TN,Morristown,138900
Grant,WA,Moses Lake,134000
Colquitt,GA,Moultrie,82700
Skagit,WA,Mount Vernon,290600
Delaware,IN,Muncie,79800
Calloway,KY,Murray,138800
Muskegon,MI,Muskegon,109400
Brunswick,NC,Myrtle Beach,207500
Nacogdoches,TX,Nacogdoches,114900
Napa,CA,Napa,581600
Collier,FL,Naples,337000
Cheatham,TN,Nashville,162200
Davidson,TN,Nashville,222400
Dickson,TN,Nashville,139400
Hickman,TN,Nashville,120700
Macon,TN,Nashville,100900
Maury,TN,Nashville,153700
Robertson,TN,Nashville,168500
Rutherford,TN,Nashville,189500
Smith,TN,Nashville,118600
Sumner,TN,Nashville,196300
Trousdale,TN,Nashville,140400
Williamson,TN,Nashville,418200
Wilson,TN,Nashville,250900
Concordia,LA,Natchez,106200
Natchitoches,LA,Natchitoches,135300
Henry,IN,New Castle,72800
Lawrence,PA,New Castle,88600
New Haven,CT,New Haven,216800
New London,CT,New London,218400
Jefferson,LA,New Orleans,170900
Orleans,LA,New Orleans,172700
Plaquemines,LA,New Orleans,247900
Saint Bernard,LA,New Orleans,142600
Saint Charles,LA,New Orleans,192400
Saint John the Baptist,LA,New Orleans,120100
Saint Tammany,LA,New Orleans,187000
Tuscarawas,OH,New Philadelphia,117000
Bergen,NJ,New York,445900
Dutchess,NY,New York,250200
Essex,NJ,New York,362600
Hudson,NJ,New York,367900
Hunterdon,NJ,New York,373400
Kings,NY,New York,691800
Middlesex,NJ,New York,299600
Monmouth,NJ,New York,384000
Morris,NJ,New York,418300
Nassau,NY,New York,488300
New York,NY,New York,1250300
Ocean,NJ,New York,270900
Orange,NY,New York,218900
Passaic,NJ,New York,300600
Putnam,NY,New York,314300
Queens,NY,New York,484300
Richmond,NY,New York,454200
Rockland,NY,New York,408900
Somerset,NJ,New York,391800
Suffolk,NY,New York,373300
Sussex,NJ,New York,229200
Westchester,NY,New York,556900
Cocke,TN,Newport,69800
Berrien,MI,Niles,127800
Santa Cruz,AZ,Nogales,131300
Madison,NE,Norfolk,157400
Lincoln,NE,North Platte,143400
Manatee,FL,North Port-Sarasota-Bradenton,242200
Sarasota,FL,North Port-Sarasota-Bradenton,249600
Jennings,IN,North Vernon,100600
Island,WA,Oak Harbor,333000
Marion,FL,Ocala,132400
Cape May,NJ,Ocean City,343000
Davis,UT,Ogden,249100
Weber,UT,Ogden,186500
Venango,PA,Oil City,77300
Okeechobee,FL,Okeechobee,116700
Canadian,OK,Oklahoma City,151400
Logan,OK,Oklahoma City,130300
McClain,OK,Oklahoma City,155800
Cattaraugus,NY,Olean,72100
Thurston,WA,Olympia,261200
Douglas,NE,Omaha,149500
Pottawattamie,IA,Omaha,126200
Sarpy,NE,Omaha,184400
Washington,NE,Omaha,165400
Otsego,NY,Oneonta,122300
Saint Landry,LA,Opelousas,118500
Orangeburg,SC,Orangeburg,85000
Lake,FL,Orlando,186600
Orange,FL,Orlando,207100
Osceola,FL,Orlando,182300
Seminole,FL,Orlando,220600
Winnebago,WI,Oshkosh,153400
Adams,WA,Othello,136800
La Salle,IL,Ottawa,100400
Steele,MN,Owatonna,156200
Shiawassee,MI,Owosso,113000
Granville,NC,Oxford,145600
Lafayette,MS,Oxford,175600
Putnam,FL,Palatka,112200
Bay,FL,Panama City,184600
Gulf,FL,Panama City,166400
Greene,AR,Paragould,106300
Henry,TN,Paris,98500
Gila,AZ,Payson,183800
Escambia,FL,Pensacola,135500
Santa Rosa,FL,Pensacola,180400
Peoria,IL,Peoria,104400
Tazewell,IL,Peoria,120800
Miami,IN,Peru,75700
Bucks,PA,Philadelphia,302700
Burlington,NJ,Philadelphia,222400
Camden,NJ,Philadelphia,169100
Cecil,MD,Philadelphia,214300
Chester,PA,Philadelphia,326200
Delaware,PA,Philadelphia,191500
Gloucester,NJ,Philadelphia,197200
Montgomery,PA,Philadelphia,282400
New Castle,DE,Philadelphia,218900
Philadelphia,PA,Philadelphia,134100
Salem,NJ,Philadelphia,147400
Maricopa,AZ,Phoenix,237200
Pinal,AZ,Phoenix,175900
Pearl River,MS,Picayune,130300
Jefferson,AR,Pine Bluff,72200
Allegheny,PA,Pittsburgh,137000
Armstrong,PA,Pittsburgh,100900
Beaver,PA,Pittsburgh,131800
Butler,PA,Pittsburgh,201100
Fayette,PA,Pittsburgh,89000
Washington,PA,Pittsburgh,142800
Westmoreland,PA,Pittsburgh,127500
Berkshire,MA,Pittsfield,201400
Grant,WI,Platteville,125800
Clinton,NY,Plattsburgh,116700
Marshall,IN,Plymouth,124400
Clallam,WA,Port Angeles,238100
Calhoun,TX,Port Lavaca,121600
Martin,FL,Port St. Lucie,248200
Saint Lucie,FL,Port St. Lucie,186000
Clackamas,OR,Portland,380200
Clark,WA,Portland,299900
Columbia,OR,Portland,242700
Multnomah,OR,Portland,385300
Skamania,WA,Portland,253100
Washington,OR,Portland,370900
Yamhill,OR,Portland,264800
Scioto,OH,Portsmouth,76000
Schuylkill,PA,Pottsville,74600
Yavapai,AZ,Prescott,265300
Crook,OR,Prineville,224300
Bristol,MA,Providence,283400
Bristol,RI,Providence,327500
Kent,RI,Providence,212700
Newport,RI,Providence,378000
Providence,RI,Providence,218700
Washington,RI,Providence,340300
Utah,UT,Provo,252300
Pueblo,CO,Pueblo,136300
Charlotte,FL,Punta Gorda,204200
Racine,WI,Racine,152000
Franklin,NC,Raleigh,136000
Wake,NC,Raleigh,244100
Willacy,TX,Raymondville,59800
Berks,PA,Reading,166800
Tehama,CA,Red Bluff,173600
Shasta,CA,Redding,231600
Washoe,NV,Reno,305000
Madison,ID,Rexburg,173600
Caroline,VA,Richmond,178100
Chesterfield,VA,Richmond,215000
Goochland,VA,Richmond,313100
Hanover,VA,Richmond,248100
Henrico,VA,Richmond,212700
King William,VA,Richmond,189600
Richmond City,VA,Richmond,168700
Wayne,IN,Richmond,76500
Starr,TX,Rio Grande City,81500
Riverside,CA,Riverside,333100
San Bernardino,CA,Riverside,301600
Fremont,WY,Riverton,175200
Botetourt,VA,Roanoke,172000
Craig,VA,Roanoke,94700
Franklin,VA,Roanoke,179100
Roanoke,VA,Roanoke,169700
Roanoke City,VA,Roanoke,108400
Livingston,NY,Rochester,123900
Monroe,NY,Rochester,134500
Olmsted,MN,Rochester,193900
Ontario,NY,Rochester,151400
Orleans,NY,Rochester,89900
Boone,IL,Rockford,150400
Winnebago,IL,Rockford,98800
Nash,NC,Rocky Mount,119600
Phelps,MO,Rolla,120500
Floyd,GA,Rome,116500
Douglas,OR,Roseburg,163300
Pope,AR,Russellville,111500
Lincoln,LA,Ruston,173700
Rutland,VT,Rutland,153700
El Dorado,CA,Sacramento,412200
Placer,CA,Sacramento,437600
Sacramento,CA,Sacramento,320700
Yolo,CA,Sacramento,399100
Graham,AZ,Safford,140700
Saginaw,MI,Saginaw,75100
Marion,OR,Salem,229200
Polk,OR,Salem,243400
Saline,KS,Salina,105200
Monterey,CA,Salinas,498200
Wicomico,MD,Salisbury,133300
Worcester,MD,Salisbury,214400
Salt Lake,UT,Salt Lake City,256100
Tooele,UT,Salt Lake City,189900
Tom Green,TX,San Angelo,128800
Comal,TX,San Antonio,261100
Medina,TX,San Antonio,165200
Wilson,TX,San Antonio,215300
San Diego,CA,San Diego,530900
Alameda,CA,San Francisco,755900
Contra Costa,CA,San Francisco,562300
Marin,CA,San Francisco,1030700
San Francisco,CA,San Francisco,1148900
San Mateo,CA,San Francisco,1091400
San Benito,CA,San Jose,489600
Santa Clara,CA,San Jose,989900
San Luis Obispo,CA,San Luis Obispo,558500
Erie,OH,Sandusky,126900
Lee,NC,Sanford,122100
Santa Cruz,CA,Santa Cruz,736000
Santa Fe,NM,Santa Fe,298500
Santa Barbara,CA,Santa Maria-Santa Barbara,561000
Sonoma,CA,Santa Rosa,575600
Chatham,GA,Savannah,155400
Effingham,GA,Savannah,164600
Lackawanna,PA,Scranton,125500
Luzerne,PA,Scranton,105300
White,AR,Searcy,109200
King,WA,Seattle,512100
Pierce,WA,Seattle,287700
Snohomish,WA,Seattle,384200
Highlands,FL,Sebring,115200
Oconee,SC,Seneca,140900
Seneca,NY,Seneca Falls,103700
Sevier,TN,Sevierville,174000
Jackson,IN,Seymour,109200
Pottawatomie,OK,Shawnee,98000
Bedford,TN,Shelbyville,141900
Mason,WA,Shelton,233900
Bossier,LA,Shreveport,167800
Caddo,LA,Shreveport,102000
De Soto,LA,Shreveport,109000
Webster,LA,Shreveport,103700
Cochise,AZ,Sierra Vista,134600
Grant,NM,Silver City,131400
Cass,MI,South Bend,119800
Saint Joseph,IN,South Bend,101100
Spartanburg,SC,Spartanburg,124200
Spokane,WA,Spokane,195500
Stevens,WA,Spokane,171800
Clark,OH,Springfield,97900
Dallas,MO,Springfield,118600
Greene,MO,Springfield,118800
Hampden,MA,Springfield,186900
Hampshire,MA,Springfield,254600
Polk,MO,Springfield,131400
Sangamon,IL,Springfield,123400
Washington,UT,St. George,227800
Franklin,MO,St. Louis,107800
Jefferson,MO,St. Louis,145300
Lincoln,MO,St. Louis,162200
Macoupin,IL,St. Louis,77600
Saint Charles,MO,St. Louis,209900
Saint Clair,IL,St. Louis,94200
Saint Louis,MO,St. Louis,172900
Saint Louis City,MO,St. Louis,115500
Camden,GA,St. Marys,151800
Fairfield,CT,Stamford,399100
Oktibbeha,MS,Starkville,169900
Centre,PA,State College,222200
Bulloch,GA,Statesboro,136000
Augusta,VA,Staunton,205000
Staunton City,VA,Staunton,144500
Waynesboro City,VA,Staunton,144600
Routt,CO,Steamboat Springs,408600
Logan,CO,Sterling,127100
San Joaquin,CA,Stockton,301000
Saint Joseph,MI,Sturgis,114700
Chattooga,GA,Summerville,75200
Sumter,SC,Sumter,89400
Northumberland,PA,Sunbury,91500
Lassen,CA,Susanville,159300
Nolan,TX,Sweetwater,77000
Madison,NY,Syracuse,125100
Onondaga,NY,Syracuse,132100
Oswego,NY,Syracuse,94300
Cherokee,OK,Tahlequah,105100
Gadsden,FL,Tallahassee,83300
Leon,FL,Tallahassee,167200
Hernando,FL,Tampa,142100
Hillsborough,FL,Tampa,191400
Pasco,FL,Tampa,163200
Pinellas,FL,Tampa,189600
Clay,IN,Terre Haute,93500
Sullivan,IN,Terre Haute,62500
Vermillion,IN,Terre Haute,66500
Vigo,IN,Terre Haute,75900
Sumter,FL,The Villages,236100
Upson,GA,Thomaston,67500
Thomas,GA,Thomasville,105700
Tift,GA,Tifton,127500
Lucas,OH,Toledo,88200
Wood,OH,Toledo,138700
Shawnee,KS,Topeka,104400
Litchfield,CT,Torrington,226000
Mercer,NJ,Trenton,226700
Nevada,CA,Truckee,407300
Pima,AZ,Tucson,178000
Coffee,TN,Tullahoma,131100
Franklin,TN,Tullahoma,134300
Creek,OK,Tulsa,105700
Itawamba,MS,Tupelo,100200
Lee,MS,Tupelo,120200
Pontotoc,MS,Tupelo,98200
Pickens,AL,Tuscaloosa,108400
Tuscaloosa,AL,Tuscaloosa,128400
Jerome,ID,Twin Falls,132500
Twin Falls,ID,Twin Falls,152700
Mendocino,CA,Ukiah,366300
Obion,TN,Union City,65800
Honolulu,HI,Urban Honolulu,649900
Champaign,OH,Urbana,117400
Oneida,NY,Utica,116900
Uvalde,TX,Uvalde,108000
Lowndes,GA,Valdosta,121400
Solano,CA,Vallejo,383400
Ventura,CA,Ventura,550000
Wilbarger,TX,Vernon,84300
Indian River,FL,Vero Beach,186100
Warren,MS,Vicksburg,121700
Goliad,TX,Victoria,117100
Knox,IN,Vincennes,73400
Cumberland,NJ,Vineland,136600
Dukes,MA,Vineyard Haven,729700
Chesapeake City,VA,Virginia Beach,250600
Currituck,NC,Virginia Beach,249300
Gloucester,VA,Virginia Beach,207300
Hampton City,VA,Virginia Beach,155900
James City,VA,Virginia Beach,307700
Newport News City,VA,Virginia Beach,172100
Norfolk City,VA,Virginia Beach,174500
Poquoson City,VA,Virginia Beach,299600
Portsmouth City,VA,Virginia Beach,144300
Suffolk City,VA,Virginia Beach,223700
Virginia Beach City,VA,Virginia Beach,256200
York,VA,Virginia Beach,293600
Tulare,CA,Visalia,182800
Wabash,IN,Wabash,85500
Falls,TX,Waco,76600
Walla Walla,WA,Walla Walla,217100
Houston,GA,Warner Robins,110600
Peach,GA,Warner Robins,121800
Johnson,MO,Warrensburg,144700
Alexandria City,VA,Washington,512700
Arlington,VA,Washington,648700
Calvert,MD,Washington,301100
Charles,MD,Washington,278500
Culpeper,VA,Washington,273100
Daviess,IN,Washington,106100
District of Columbia,DC,Washington,540400
Fairfax,VA,Washington,521000
Fairfax City,VA,Washington,492500
Falls Church City,VA,Washington,703300
Fauquier,VA,Washington,348200
Frederick,MD,Washington,287700
Fredericksburg City,VA,Washington,309900
Loudoun,VA,Washington,467200
Manassas Park City,VA,Washington,268600
Montgomery,MD,Washington,431900
Prince Georges,MD,Washington,276900
Prince William,VA,Washington,343300
Spotsylvania,VA,Washington,228900
Stafford,VA,Washington,313200
Warren,VA,Washington,214400
Jefferson,NY,Watertown,140900
Ware,GA,Waycross,70900
Chelan,WA,Wenatchee,272300
Howell,MO,West Plains,116200
Walworth,WI,Whitewater,184300
Sedgwick,KS,Wichita,129900
Lycoming,PA,Williamsport,146700
Kandiyohi,MN,Willmar,158200
New Hanover,NC,Wilmington,203800
Pender,NC,Wilmington,213200
Wilson,NC,Wilson,121500
Frederick,VA,Winchester,231200
Winchester City,VA,Winchester,222600
Humboldt,NV,Winnemucca,187300
Winona,MN,Winona,140400
Davidson,NC,Winston-Salem,119500
Forsyth,NC,Winston-Salem,133400
Stokes,NC,Winston-Salem,126300
Wayne,OH,Wooster,136100
Windham,CT,Worcester,180500
Worcester,MA,Worcester,254200
Yakima,WA,Yakima,179300
York,PA,York,163100
Mahoning,OH,Youngstown,74500
Mercer,PA,Youngstown,108800
Trumbull,OH,Youngstown,82500
Sutter,CA,Yuba City,251900
Yuba,CA,Yuba City,231900
Yuma,AZ,Yuma,135400
Adams,ND,,86700
Addison,VT,,241300
Alger,MI,,142300
Amador,CA,,268800
Assumption,LA,,132800
Avery,NC,,148400
Avoyelles,LA,,112600
Bamberg,SC,,71300
Beaverhead,MT,,139800
Benewah,ID,,162600
Benton,TN,,68800
Bienville,LA,,93100
Blackford,IN,,62700
Blaine,OK,,75000
Boundary,ID,,213500
Brooks,TX,,65700
Brown,KS,,72900
Burnet,TX,,201800
Burnett,WI,,148800
Calaveras,CA,,271700
Caldwell,LA,,80100
Caledonia,VT,,155600
Camp,TX,,115100
Caroline,MD,,169600
Carroll,NH,,220300
Carroll,TN,,62300
Catahoula,LA,,82600
Chaffee,CO,,335200
Cherokee,NC,,140500
Chickasaw,MS,,69900
Claiborne,TN,,89700
Claiborne,LA,,88400
Clay,MS,,82700
Clearwater,ID,,203200
Cleburne,AR,,135100
Cleburne,AL,,111800
Colleton,SC,,118600
Colusa,CA,,205700
Comanche,TX,,73400
Covington,AL,,95800
Crawford,MO,,113000
Crawford,IN,,73500
Cumberland,KY,,93300
Dallas,AR,,60300
De Witt,TX,,94200
Delta,CO,,177800
Delta,TX,,65700
Dickey,ND,,79800
Dickinson,KS,,95500
Early,GA,,80200
Emmet,MI,,184800
Emmons,ND,,139100
Essex,NY,,165000
Fayette,TX,,169100
Fentress,TN,,103300
Fountain,IN,,76200
Franklin,IN,,120800
Franklin,GA,,120100
Franklin,LA,,76800
Franklin,TX,,147500
Freestone,TX,,94500
Frio,TX,,96000
Fulton,IN,,91400
Garrett,MD,,139300
George,MS,,128400
Gibson,TN,,65000
Gibson,IN,,101000
Gilmer,GA,,182200
Grand,CO,,257900
Grant,MN,,109100
Greene,IN,,74600
Greene,MS,,107700
Guilford,NC,,133200
Hamilton,TX,,91700
Hardin,TN,,72600
Harney,OR,,101000
Haskell,TX,,68100
Highland,OH,,94200
Hill,TX,,81600
Humphreys,TN,,97800
Humphreys,MS,,68800
Inyo,CA,,295500
Jackson,FL,,85800
Jackson,LA,,106900
Jasper,TX,,85800
Jay,IN,,71900
Jefferson,PA,,96300
Jefferson,WA,,321400
Jefferson,OK,,52500
Jefferson Davis,MS,,89300
Johnson,NE,,96500
Kenai Peninsula,AK,,216400
Kent,MD,,188500
King George,VA,,255900
Kodiak Island,AK,,274800
La Paz,AZ,,125100
La Salle,LA,,78200
Lagrange,IN,,136400
Lamoille,VT,,220900
Latimer,OK,,83300
Lauderdale,TN,,70200
Lavaca,TX,,86200
Lawrence,MS,,92700
Lewis,NY,,119900
Lewis,ID,,165300
Lincoln,TN,,93700
Livingston,MO,,89300
Llano,TX,,216500
Lumpkin,GA,,203600
Macon,GA,,66700
Madison,LA,,113600
Madison,MT,,224700
Marion,MS,,103600
Mariposa,CA,,245100
Marshall,KY,,125800
Martin,IN,,72700
Mayes,OK,,120700
McIntosh,OK,,111800
McLean,ND,,121200
McNairy,TN,,73300
Middlesex,VA,,246700
Mitchell,TX,,76600
Monroe,TN,,129100
Monroe,MS,,80100
Montezuma,CO,,201100
Nantucket,MA,,1407600
Neshoba,MS,,109000
Newton,MS,,102300
Oceana,MI,,94600
Orange,VA,,191800
Orange,IN,,77800
Ouray,CO,,354100
Panola,MS,,91800
Panola,TX,,130200
Parke,IN,,80500
Perry,IN,,95100
Perry,MO,,114600
Plumas,CA,,215600
Polk,TX,,127600
Polk,WI,,165000
Preble,OH,,109200
Prentiss,MS,,71800
Pulaski,IN,,84100
Putnam,OH,,135300
Ramsey,ND,,83800
Randolph,IN,,62600
Red River,TX,,133000
Red River,LA,,91900
Richardson,NE,,67800
Richland,LA,,80000
Ripley,IN,,114600
Runnels,TX,,92000
Rush,IN,,88300
Sabine,TX,,271300
San Jacinto,TX,,124500
San Juan,WA,,464800
Sanders,MT,,113800
Scott,MS,,120200
Shenandoah,VA,,184200
Siskiyou,CA,,191800
Smith,MS,,98200
Smyth,VA,,99300
Spencer,IN,,106300
Starke,IN,,95600
Stone,MS,,125600
Switzerland,IN,,95000
Tensas,LA,,135200
Tillamook,OR,,290700
Tioga,PA,,124300
Tippah,MS,,100200
Tipton,IN,,106500
Tishomingo,MS,,100900
Traverse,MN,,62900
Tuscola,MI,,90100
Union,MS,,153500
Union,GA,,179200
Van Zandt,TX,,120600
Vernon,WI,,140900
Vilas,WI,,192700
Walthall,MS,,104700
Ward,TX,,100500
Warren,IN,,82200
Webster,MS,,87200
West Carroll,LA,,84100
Westmoreland,VA,,192700
White,GA,,141600
White,TN,,106500
Wilcox,GA,,87600
Williams,OH,,93700
Winn,LA,,83600
Wythe,VA,,120600
Yalobusha,MS,,80900
Young,TX,,93500
Zavala,TX,,65200
